Ticker,Category,Price,Trend,RSI,Volatility,Momentum_1M
FANG,Sector_Energy,158.6,BULL,68.7,24.59,12.67
EQT,Sector_Energy,60.07,BULL,49.44,36.92,7.29
DVN,Sector_Energy,,BEAR,66.93,24.04,10.76
DVN,Sector_Energy,37.47,BULL,62.56,26.72,15.54
EQT,Sector_Energy,58.52,BULL,49.34,37.45,-0.71
EQT,Sector_Energy,60.07,BULL,49.44,36.92,7.29
FANG,Sector_Energy,157.52,BULL,69.67,24.42,8.84
EOG,Sector_Energy,,BEAR,43.25,26.58,-2.19
WMB,Sector_Energy,58.73,BEAR,43.95,23.47,-0.74
EXE,Sector_Energy,122.86,BULL,62.23,29.51,11.06
WMB,Sector_Energy,59.46,BULL,49.36,25.76,-0.23
EQT,Sector_Energy,56.07,BULL,49.19,36.94,-7.84
EQT,Sector_Energy,60.68,BULL,52.37,36.99,7.82
TRGP,Sector_Energy,180.74,BULL,63.49,24.42,6.39
APA,Sector_Energy,24.32,BULL,45.5,40.63,1.12
TRGP,Sector_Energy,,BEAR,69.9,23.69,5.68
EQT,Sector_Energy,60.68,BULL,52.37,36.99,7.82
EQT,Sector_Energy,55.57,BULL,45.72,36.93,-7.77
EXE,Sector_Energy,119.07,BULL,53.65,31.12,3.69
EXE,Sector_Energy,122.09,BULL,59.08,29.51,10.94
EXE,Sector_Energy,117.46,BULL,50.54,31.61,2.29
EOG,Sector_Energy,105.93,BEAR,48.3,21.45,-4.05
FANG,Sector_Energy,158.6,BULL,68.7,24.59,12.67
FANG,Sector_Energy,156.68,BULL,72.24,23.72,8.52
DVN,Sector_Energy,37.54,BULL,68.71,24.73,6.59
DVN,Sector_Energy,37.47,BULL,62.56,26.72,15.54
TRGP,Sector_Energy,180.02,BULL,66.63,28.43,10.65
TRGP,Sector_Energy,183.69,BULL,74.75,24.99,8.38
APA,Sector_Energy,25.14,BULL,58.77,38.45,1.8
TRGP,Sector_Energy,180.02,BULL,66.63,28.43,10.65
DVN,Sector_Energy,37.47,BULL,62.56,26.72,15.54
DVN,Sector_Energy,37.52,BULL,65.87,24.57,7.08
FANG,Sector_Energy,157.04,BULL,73.61,24.34,7.44
FANG,Sector_Energy,158.6,BULL,68.7,24.59,12.67
EOG,Sector_Energy,103.39,BEAR,43.98,26.03,-5.64
WMB,Sector_Energy,59.51,BULL,44.26,23.82,1.05
EXE,Sector_Energy,122.09,BULL,59.08,29.51,10.94
EXE,Sector_Energy,112.79,BULL,46.21,30.05,-4.38
EXE,Sector_Energy,122.86,BULL,62.23,29.51,11.06
EOG,Sector_Energy,105.68,BEAR,46.8,23.81,-3.25
FANG,Sector_Energy,158.17,BULL,70.62,24.36,9.29
FANG,Sector_Energy,159.51,BULL,76.04,25.08,16.18
DVN,Sector_Energy,37.71,BULL,68.94,26.29,16.6
EQT,Sector_Energy,,BEAR,49.74,37.44,-0.48
TRGP,Sector_Energy,183.19,BULL,69.43,23.97,7.94
TRGP,Sector_Energy,180.74,BULL,63.49,24.42,6.39
APA,Sector_Energy,25.27,BULL,56.98,37.83,1.94
APA,Sector_Energy,24.5,BULL,48.77,41.9,-1.71
TRGP,Sector_Energy,180.74,BULL,63.49,24.42,6.39
TRGP,Sector_Energy,185.73,BULL,75.58,23.32,8.88
EQT,Sector_Energy,60.68,BULL,52.37,36.99,7.82
DVN,Sector_Energy,37.4,BULL,64.74,24.22,10.26
DVN,Sector_Energy,37.71,BULL,68.94,26.29,16.6
FANG,Sector_Energy,159.51,BULL,76.04,25.08,16.18
EXE,Sector_Energy,122.86,BULL,62.23,29.51,11.06
EXE,Sector_Energy,114.33,BULL,49.7,30.01,-4.29
EXE,Sector_Energy,110.54,BULL,39.89,30.7,-5.75
EOG,Sector_Energy,112.16,BEAR,59.09,19.24,6.63
EOG,Sector_Energy,109.39,BEAR,49.46,20.42,2.65
EQT,Sector_Energy,54.69,BULL,29.82,39.33,-7.12
FANG,Sector_Energy,154.36,BULL,65.63,24.81,6.91
