Ticker,Category
IBM,Sector_InformationTechnology
INTC,Sector_InformationTechnology
INTU,Sector_InformationTechnology
IT,Sector_InformationTechnology
JBL,Sector_InformationTechnology
KEYS,Sector_InformationTechnology
KLAC,Sector_InformationTechnology
LRCX,Sector_InformationTechnology
MCHP,Sector_InformationTechnology
MPWR,Sector_InformationTechnology
MSFT,Sector_InformationTechnology
MSI,Sector_InformationTechnology
MU,Sector_InformationTechnology
NOW,Sector_InformationTechnology
NTAP,Sector_InformationTechnology
NVDA,Sector_InformationTechnology
NXPI,Sector_InformationTechnology
ON,Sector_InformationTechnology
ORCL,Sector_InformationTechnology
PANW,Sector_InformationTechnology
PLTR,Sector_InformationTechnology
PTC,Sector_InformationTechnology
Q,Sector_InformationTechnology
QCOM,Sector_InformationTechnology
ROP,Sector_InformationTechnology
SMCI,Sector_InformationTechnology
SNDK,Sector_InformationTechnology
SNPS,Sector_InformationTechnology
STX,Sector_InformationTechnology
SWKS,Sector_InformationTechnology
TDY,Sector_InformationTechnology
TEL,Sector_InformationTechnology
TER,Sector_InformationTechnology
TRMB,Sector_InformationTechnology
TXN,Sector_InformationTechnology
TYL,Sector_InformationTechnology
VRSN,Sector_InformationTechnology
WDAY,Sector_InformationTechnology
WDC,Sector_InformationTechnology
ZBRA,Sector_InformationTechnology
ALB,Sector_Materials
AMCR,Sector_Materials
APD,Sector_Materials
AVY,Sector_Materials
BALL,Sector_Materials
CF,Sector_Materials
CTVA,Sector_Materials
DD,Sector_Materials
DOW,Sector_Materials
ECL,Sector_Materials
FCX,Sector_Materials
IFF,Sector_Materials
IP,Sector_Materials
LIN,Sector_Materials
LYB,Sector_Materials
MLM,Sector_Materials
MOS,Sector_Materials
NEM,Sector_Materials
NUE,Sector_Materials
PKG,Sector_Materials
PPG,Sector_Materials
SHW,Sector_Materials
SOLS,Sector_Materials
STLD,Sector_Materials
SW,Sector_Materials
VMC,Sector_Materials
AMT,Sector_RealEstate
ARE,Sector_RealEstate
AVB,Sector_RealEstate
BXP,Sector_RealEstate
CBRE,Sector_RealEstate
CCI,Sector_RealEstate
CPT,Sector_RealEstate
CSGP,Sector_RealEstate
DLR,Sector_RealEstate
DOC,Sector_RealEstate
EQIX,Sector_RealEstate
EQR,Sector_RealEstate
ESS,Sector_RealEstate
EXR,Sector_RealEstate
FRT,Sector_RealEstate
HST,Sector_RealEstate
INVH,Sector_RealEstate
IRM,Sector_RealEstate
KIM,Sector_RealEstate
MAA,Sector_RealEstate
O,Sector_RealEstate
PLD,Sector_RealEstate
PSA,Sector_RealEstate
REG,Sector_RealEstate
SBAC,Sector_RealEstate
SPG,Sector_RealEstate
UDR,Sector_RealEstate
VICI,Sector_RealEstate
VTR,Sector_RealEstate
WELL,Sector_RealEstate
WY,Sector_RealEstate
AEE,Sector_Utilities
AEP,Sector_Utilities
AES,Sector_Utilities
ATO,Sector_Utilities
AWK,Sector_Utilities
CEG,Sector_Utilities
CMS,Sector_Utilities
CNP,Sector_Utilities
D,Sector_Utilities
DTE,Sector_Utilities
DUK,Sector_Utilities
ED,Sector_Utilities
EIX,Sector_Utilities
ES,Sector_Utilities
ETR,Sector_Utilities
EVRG,Sector_Utilities
EXC,Sector_Utilities
FE,Sector_Utilities
LNT,Sector_Utilities
NEE,Sector_Utilities
NI,Sector_Utilities
NRG,Sector_Utilities
PCG,Sector_Utilities
PEG,Sector_Utilities
PNW,Sector_Utilities
PPL,Sector_Utilities
SO,Sector_Utilities
SRE,Sector_Utilities
VST,Sector_Utilities
WEC,Sector_Utilities
XEL,Sector_Utilities
BDRY,Shipping
